timestamp,value,rolling_mean,rolling_std,diff_1,diff_2,lag_1,lag_2,lag_3,lag_24,percentile_25,percentile_75,iqr
2014-07-01 12:00:00,18908,18336.8,680.5040043967364,445.0,-769.0,18463.0,17249.0,17720.0,10844.0,3583.25,18055.75,14472.5
2014-07-01 12:30:00,18886,18778.8,487.7363017041009,-22.0,-467.0,18908.0,18463.0,17249.0,8127.0,3583.25,18568.75,14985.5
2014-07-01 13:00:00,18178,18995.4,549.0526386422285,-708.0,-686.0,18886.0,18908.0,18463.0,6210.0,3583.25,18568.75,14985.5
2014-07-01 13:30:00,19459,19332.0,891.2965275372688,1281.0,1989.0,18178.0,18886.0,18908.0,4656.0,3583.25,18891.5,15308.25
2014-07-01 14:00:00,19546,19430.8,856.1861363044799,87.0,-1194.0,19459.0,18178.0,18886.0,3820.0,3991.25,18927.0,14935.75
2014-07-01 14:30:00,20591,19504.0,728.4116281334296,1045.0,958.0,19546.0,19459.0,18178.0,2873.0,5985.5,19102.75,13117.25
2014-07-01 15:00:00,19380,18857.8,1640.4734682401886,-1211.0,-2256.0,20591.0,19546.0,19459.0,2369.0,9910.75,19399.75,9489.0
2014-07-01 15:30:00,18544,17951.2,2289.3155527362305,-836.0,375.0,19380.0,20591.0,19546.0,2064.0,13152.5,19399.75,6247.25
2014-07-01 16:00:00,16228,17273.6,1750.6722423115054,-2316.0,-1480.0,18544.0,19380.0,20591.0,2221.0,15363.0,19399.75,4036.75
2014-07-01 16:30:00,15013,17302.6,1794.9296086476468,-1215.0,1101.0,16228.0,18544.0,19380.0,2158.0,15652.0,19399.75,3747.75
2014-07-01 17:00:00,17203,18187.0,3142.821105312867,2190.0,3405.0,15013.0,16228.0,18544.0,2515.0,16137.25,19399.75,3262.5
2014-07-01 17:30:00,19525,20461.0,4959.414229523482,2322.0,132.0,17203.0,15013.0,16228.0,4364.0,16959.25,19475.5,2516.25
2014-07-01 18:00:00,22966,22823.8,4508.721847708061,3441.0,1119.0,19525.0,17203.0,15013.0,6526.0,17237.5,19528.5,2291.0
2014-07-01 18:30:00,27598,24364.0,3247.5779436373805,4632.0,1191.0,22966.0,19525.0,17203.0,11039.0,17602.25,19540.75,1938.5
2014-07-01 19:00:00,26827,25034.0,2164.702635467513,-771.0,-5403.0,27598.0,22966.0,19525.0,13857.0,17870.0,19686.25,1816.25
2014-07-01 19:30:00,24904,24519.6,2944.2184531722496,-1923.0,-1152.0,26827.0,27598.0,22966.0,15865.0,18113.5,20166.75,2053.25
2014-07-01 20:00:00,22875,23680.2,2394.0262529888832,-2029.0,-106.0,24904.0,26827.0,27598.0,17920.0,18391.75,20407.25,2015.5
2014-07-01 20:30:00,20394,23202.6,1764.8204724560496,-2481.0,-452.0,22875.0,24904.0,26827.0,20346.0,18391.75,20443.25,2051.5
2014-07-01 21:00:00,23401,22885.4,1506.1408632661135,3007.0,5488.0,20394.0,22875.0,24904.0,19539.0,18391.75,21162.0,2770.25
2014-07-01 21:30:00,24439,22657.0,1592.2410307487976,1038.0,-1969.0,23401.0,20394.0,22875.0,20107.0,18391.75,22897.75,4506.0
2014-07-01 22:00:00,23318,22599.0,1697.111222047628,-1121.0,-2159.0,24439.0,23401.0,20394.0,18984.0,18391.75,23054.0,4662.25
2014-07-01 22:30:00,21733,21141.0,3253.569808687066,-1585.0,-464.0,23318.0,24439.0,23401.0,17720.0,18523.75,23054.0,4530.25
2014-07-01 23:00:00,20104,18927.2,4103.350789294037,-1629.0,-44.0,21733.0,23318.0,24439.0,17249.0,18800.5,23054.0,4253.5
2014-07-01 23:30:00,16111,16252.6,4821.392879656251,-3993.0,-2364.0,20104.0,21733.0,23318.0,18463.0,18800.5,23054.0,4253.5
2014-07-02 00:00:00,13370,13420.2,4954.953652659125,-2741.0,1252.0,16111.0,20104.0,21733.0,18908.0,18452.5,23054.0,4601.5
2014-07-02 00:30:00,9945,10582.8,4170.638344426426,-3425.0,-684.0,13370.0,16111.0,20104.0,18886.0,17934.25,23054.0,5119.75
2014-07-02 01:00:00,7571,8324.6,3417.9097852342443,-2374.0,1051.0,9945.0,13370.0,16111.0,18178.0,16959.25,23054.0,6094.75
2014-07-02 01:30:00,5917,6377.4,2465.5707858424994,-1654.0,720.0,7571.0,9945.0,13370.0,19459.0,16198.75,23054.0,6855.25
2014-07-02 02:00:00,4820,4987.0,1828.6942062575686,-1097.0,557.0,5917.0,7571.0,9945.0,19546.0,15836.5,23054.0,7217.5
2014-07-02 02:30:00,3634,3979.8,1381.980354418976,-1186.0,-89.0,4820.0,5917.0,7571.0,20591.0,14602.25,23054.0,8451.75
2014-07-02 03:00:00,2993,3310.4,953.1250180327861,-641.0,545.0,3634.0,4820.0,5917.0,19380.0,12513.75,23054.0,10540.25
2014-07-02 03:30:00,2535,2843.4,486.2451028031017,-458.0,183.0,2993.0,3634.0,4820.0,18544.0,9351.5,23054.0,13702.5
2014-07-02 04:00:00,2570,2690.2,225.80013286089758,35.0,493.0,2535.0,2993.0,3634.0,16228.0,7157.5,23054.0,15896.5
2014-07-02 04:30:00,2485,2988.0,848.4365032222499,-85.0,-120.0,2570.0,2535.0,2993.0,15013.0,5642.75,23054.0,17411.25
2014-07-02 05:00:00,2868,3838.6,1836.883719781957,383.0,468.0,2485.0,2570.0,2535.0,17203.0,4523.5,23054.0,18530.5
2014-07-02 05:30:00,4482,5540.2,3529.125982449479,1614.0,1231.0,2868.0,2485.0,2570.0,19525.0,4270.0,23054.0,18784.0
2014-07-02 06:00:00,6788,7789.0,4534.743983953229,2306.0,692.0,4482.0,2868.0,2485.0,22966.0,4270.0,22985.75,18715.75
2014-07-02 06:30:00,11078,10555.4,4979.469027918539,4290.0,1984.0,6788.0,4482.0,2868.0,27598.0,4270.0,22018.5,17748.5
2014-07-02 07:00:00,13729,13490.2,4826.989869473521,2651.0,-1639.0,11078.0,6788.0,4482.0,26827.0,4270.0,20728.75,16458.75
2014-07-02 07:30:00,16700,16123.2,3721.027371573609,2971.0,320.0,13729.0,11078.0,6788.0,24904.0,4270.0,20176.5,15906.5
2014-07-02 08:00:00,19156,17808.0,2605.4591725835967,2456.0,-515.0,16700.0,13729.0,11078.0,22875.0,4270.0,19393.0,15123.0
2014-07-02 08:30:00,19953,18861.0,1262.7331467891386,797.0,-1659.0,19156.0,16700.0,13729.0,20394.0,4270.0,19355.25,15085.25
2014-07-02 09:00:00,19502,18983.2,1004.4768290010479,-451.0,-1248.0,19953.0,19156.0,16700.0,23401.0,4270.0,19242.5,14972.5
2014-07-02 09:30:00,18994,18732.8,1101.953583414474,-508.0,-57.0,19502.0,19953.0,19156.0,24439.0,4270.0,19034.5,14764.5
2014-07-02 10:00:00,17311,18168.8,1041.297123783601,-1683.0,-1175.0,18994.0,19502.0,19953.0,23318.0,4270.0,17731.75,13461.75
2014-07-02 10:30:00,17904,17986.2,801.5033998680226,593.0,2276.0,17311.0,18994.0,19502.0,21733.0,4270.0,17459.25,13189.25
2014-07-02 11:00:00,17133,18014.2,846.6839433932826,-771.0,-1364.0,17904.0,17311.0,18994.0,20104.0,4270.0,17177.5,12907.5
2014-07-02 11:30:00,18589,18403.8,889.32429405701,1456.0,2227.0,17133.0,17904.0,17311.0,16111.0,4270.0,17459.25,13189.25
2014-07-02 12:00:00,19134,18556.4,846.5564363939355,545.0,-911.0,18589.0,17133.0,17904.0,13370.0,4270.0,18075.25,13805.25
2014-07-02 12:30:00,19259,18945.4,298.3392364406644,125.0,-420.0,19134.0,18589.0,17133.0,9945.0,4270.0,18690.25,14420.25
2014-07-02 13:00:00,18667,18936.8,311.51035295796896,-592.0,-717.0,19259.0,19134.0,18589.0,7571.0,4270.0,18748.75,14478.75
2014-07-02 13:30:00,19078,18828.6,319.73786138022234,411.0,1003.0,18667.0,19259.0,19134.0,5917.0,4270.0,19015.0,14745.0
2014-07-02 14:00:00,18546,18570.2,397.55087724717475,-532.0,-943.0,19078.0,18667.0,19259.0,4820.0,4270.0,19015.0,14745.0
