timestamp,value,rolling_mean,rolling_std,diff_1,diff_2,lag_1,lag_2,lag_3,lag_24,percentile_25,percentile_75,iqr,IF_anomaly,EE_anomaly,Ensemble_anomaly,IF_score,EE_score
2014-07-01 12:00:00,18908,18336.8,680.5040043967364,445.0,-769.0,18463.0,17249.0,17720.0,10844.0,3583.25,18055.75,14472.5,0,0,0,0.4133210541932639,-6.71322403362633
2014-07-01 12:30:00,18886,18778.8,487.7363017041009,-22.0,-467.0,18908.0,18463.0,17249.0,8127.0,3583.25,18568.75,14985.5,0,0,0,0.4218822838842315,-5.367264114168221
2014-07-01 13:00:00,18178,18995.4,549.0526386422285,-708.0,-686.0,18886.0,18908.0,18463.0,6210.0,3583.25,18568.75,14985.5,0,0,0,0.4269870184741881,-8.896404876536078
2014-07-01 13:30:00,19459,19332.0,891.2965275372688,1281.0,1989.0,18178.0,18886.0,18908.0,4656.0,3583.25,18891.5,15308.25,0,0,0,0.4794454049864917,-13.190465499160208
2014-07-01 14:00:00,19546,19430.8,856.1861363044799,87.0,-1194.0,19459.0,18178.0,18886.0,3820.0,3991.25,18927.0,14935.75,0,0,0,0.4393261599558155,-11.99327513876922
2014-07-01 14:30:00,20591,19504.0,728.4116281334296,1045.0,958.0,19546.0,19459.0,18178.0,2873.0,5985.5,19102.75,13117.25,0,0,0,0.4486973451100302,-11.81448377187171
2014-07-01 15:00:00,19380,18857.8,1640.4734682401886,-1211.0,-2256.0,20591.0,19546.0,19459.0,2369.0,9910.75,19399.75,9489.0,0,0,0,0.4569934167016601,-9.75205400194313
2014-07-01 15:30:00,18544,17951.2,2289.3155527362305,-836.0,375.0,19380.0,20591.0,19546.0,2064.0,13152.5,19399.75,6247.25,0,0,0,0.4213974248035746,-10.460596488195923
2014-07-01 16:00:00,16228,17273.6,1750.6722423115054,-2316.0,-1480.0,18544.0,19380.0,20591.0,2221.0,15363.0,19399.75,4036.75,0,0,0,0.4509909107128118,-12.392107558820063
2014-07-01 16:30:00,15013,17302.6,1794.9296086476468,-1215.0,1101.0,16228.0,18544.0,19380.0,2158.0,15652.0,19399.75,3747.75,0,0,0,0.4276746947344369,-40.62569206008514
2014-07-01 17:00:00,17203,18187.0,3142.821105312867,2190.0,3405.0,15013.0,16228.0,18544.0,2515.0,16137.25,19399.75,3262.5,0,0,0,0.488584230685929,-130.18339256876575
2014-07-01 17:30:00,19525,20461.0,4959.414229523482,2322.0,132.0,17203.0,15013.0,16228.0,4364.0,16959.25,19475.5,2516.25,0,1,0,0.4898844604082122,-335.4862076136004
2014-07-01 18:00:00,22966,22823.8,4508.721847708061,3441.0,1119.0,19525.0,17203.0,15013.0,6526.0,17237.5,19528.5,2291.0,0,1,0,0.5208382231568243,-290.4022391544111
2014-07-01 18:30:00,27598,24364.0,3247.5779436373805,4632.0,1191.0,22966.0,19525.0,17203.0,11039.0,17602.25,19540.75,1938.5,0,0,0,0.5389159414643552,-136.6363083998114
2014-07-01 19:00:00,26827,25034.0,2164.702635467513,-771.0,-5403.0,27598.0,22966.0,19525.0,13857.0,17870.0,19686.25,1816.25,1,0,0,0.5406432515982502,-48.0115505742852
2014-07-01 19:30:00,24904,24519.6,2944.2184531722496,-1923.0,-1152.0,26827.0,27598.0,22966.0,15865.0,18113.5,20166.75,2053.25,0,0,0,0.529659309399389,-35.711077248692824
2014-07-01 20:00:00,22875,23680.2,2394.0262529888832,-2029.0,-106.0,24904.0,26827.0,27598.0,17920.0,18391.75,20407.25,2015.5,0,0,0,0.5027635471086426,-8.930228275338111
2014-07-01 20:30:00,20394,23202.6,1764.8204724560496,-2481.0,-452.0,22875.0,24904.0,26827.0,20346.0,18391.75,20443.25,2051.5,0,0,0,0.4981407376188654,-45.94998607333746
2014-07-01 21:00:00,23401,22885.4,1506.1408632661137,3007.0,5488.0,20394.0,22875.0,24904.0,19539.0,18391.75,21162.0,2770.25,0,0,0,0.5299706192506445,-53.147651316002126
2014-07-01 21:30:00,24439,22657.0,1592.2410307487976,1038.0,-1969.0,23401.0,20394.0,22875.0,20107.0,18391.75,22897.75,4506.0,0,0,0,0.4688178078298732,-47.07820277903768
2014-07-01 22:00:00,23318,22599.0,1697.111222047628,-1121.0,-2159.0,24439.0,23401.0,20394.0,18984.0,18391.75,23054.0,4662.25,0,0,0,0.4623848795664507,-15.895507070036894
